"","gendered_words"
"1741","eine Uniform tragende Person;Uniformträger*in"
"1742","eine Universität/Hochschule besuchende Person"
"1743","eine Verhandlung leitende Person"
"1744","eine Versammlung leitende Person"
"1745","eine Versicherung betrügende Person;Versicherungsbetrüger*innen"
"1746","eine Wahl beobachtende Person;Wahlbeobachter*innen"
"1747","eine Ware kaufende Person"
"1748","eine Ware kaufende Person; Person, die etwas von einem anderen annimmt;Abnehmer*innen"
"1749","eine Wegstrecke gemeinsam zurücklegende Person; politisch begleitende Person"
"1750","eine Wohnung, Anwesen mietende Person; eine Wohnung bewohnende Person;Mieter*innen"
"1751","eine Zahlung empfangende Person; Person die eine Zahlung empfängt/erhält"
"1752","eine Zeremonie leitende Person"
"1753","einem altgriechischen Volksstamm angehörende Person"
"1754","einem Beamten assistierende Person;Adjunkt*innen"
"1755","einem Büro vorstehende Person;Büroleiter*in"
"1756","einem Dorf vorstehende Person;Dorfvorsteher*in"
"1757","einem geburtenstarken Jahrgang entstammende Person"
"1758","einem größeren Truppenteil befehlende, kommandierende Person;Kommandeur*in"
"1759","einem Kloster vorstehende Person; den Abt stellverstretende Person;Prior*innen"
"1760","einem nachfolgende Generation; weiterfolgende Angehörige"
"1761","einem Nationalrat anghörende Person"
"1762","einem Ort vorstehende Person"
"1763","einem Rat angehörende Person; einem Stadtrat angehörende Person"
"1764","einem Verein vorstehende Person; die Interessen einer Gruppe vertretende Person"
"1765","einen anderen beschützende Person"
"1766","einen Auftrag entgegennehmende / annehmende Person"
"1767","einen Auftrag erteilende Person;Auftraggeber*innen"
"1768","einen bestimmten Geschäftsbereich eines Staates verwaltende Person;Minister*innen"
"1769","einen bestimmten Namen tragende Person"
"1770","einen bestimmten Sachbereich bearbeitende Person;Sachbearbeier*innen"
"1771","einen bestimmten Titel tragende Person"
"1772","einen Bestseller schreibende Person;Bestsellerautor*innen"
"1773","einen Brief empfangende Person"
"1774","einen Chor leitende Person;Chorleiter*innen"
"1775","einen Geheimdienst leitende Person;Geheimdienstler*innen"
"1776","einen harten Kurs vertretende Person"
"1777","einen Jagdfrevel begehende Person; wildernde Person"
"1778","einen Konzern leitende Person; Person, die einen Konzern leitet"
"1779","einen Krieg befürwortende Person; kriegstreibende Person;Kriegsbefürworter*in; Kriegsbefürworter_in; Kriegsbefürworter/in"
"1780","einen Laden besitzende Person;Ladeninhaber*innen"
"1781","einen Laden, ein Geschäft besitzende Person"
"1782","einen Landbesitz innehabende Person;Landbesitzer*in"
"1783","einen Markt besuchende Person;Marktbesucher*in"
"1784","einen Markt, ein Geschäft leitende Person;Marktleiter*innen"
"1785","einen Meuchelmord begehende Person"
"1786","einen Mord begehende Person; mordende Person"
"1787","einen Niedergang erlebende Person"
"1788","einen Park oder Parkplatz bewachende Person"
"1789","einen Pass besitzende Person;Passinhaber*in"
"1790","einen Schlaganfall erleidende Person"
"1791","einen Suizid begehende Person"
"1792","einen Test leitende Person"
"1793","einen Text mit Illustrationen gestaltende Person;Illustrator*in; Illustrator_in; Illustrator/in"
"1794","einen Unfall bezeugende Person"
"1795","einen Verlag leitende Person;Verlagschef*in; Verlagschef_in; Verlagschef/in"
"1796","einen Virus in sich tragende Person;Virusträger*in"
"1797","einen Weinberg besitzende Person;Weinbergbesitzer*innen"
"1798","einen Weltrekord haltende Person"
"1799","einen Zirkus leitende Person;Zirkusdiretor*innen"
"1800","einer afrikanischen, kleinwüchsigen Bevölkerungsgruppe angehörende Person"
"1801","einer anderen Person zuarbeitende Person;Zuarbeiter*in; Zuarbeiter_in; Zuarbeiter/in"
"1802","einer Besatzungsmacht angehörige Person;Besatzer*innen"
"1803","einer Bezirksvertretung vorstehende Person;Bezirksvorsteher*in; Bezirksvorsteher_in; Bezirksvorsteher/in"
"1804","einer chefärztlich tätigen Person unterstellte Person im ärztlichen Dienst"
"1805","einer Elitetruppe angehörige Person des Militärs;Elitesoldat*innen"
"1806","einer Fraktion vorsitzende Person"
"1807","einer Garde angehörende Person;Gardist*in; Gardist_in; Gardist/in"
"1808","einer geheimen Verbindung angehörende Person;Illuminat*in"
"1809","einer Geheimlehre anhängende Person"
"1810","einer Gewerkschaft zugehörige Person;Gewerkschaftler*innen"
"1811","einer großen Koalition angehörende Person;Großkoalitionär*in"
"1812","einer Guerillatruppe angehörige Person; einer Freischar zugehörige Person;Freischärler*innen"
"1813","einer Innung vorstehende Person; als Vorbild eines Berufszweigs oder Fachgebiets geltende Person"
"1814","einer Kommune angehörende Person"
"1815","einer Landesregierung angehörende Person"
"1816","einer Legion,Fremdenlegion angehörige Person;Legionsangehörige;Legionär*innen"
"1817","einer politischen Richtung oder Partei anhängende Person;Parteigänger*innen"
"1818","einer Sache vorstehnde Person"
"1819","einer schismatischen Gruppe anhängende Person; ein Schisma verursachende Person;Schismatiker*in"
"1820","eines Prominenten anhängende Person"
"1821","einfache Küche; gut bürgerliche Küche; traditionell zubereitete Gerichte; Alltagsessen"
"1822","einfältige Person;Depp*innen"
"1823","Einfluss nehmende Person; Person, die Einfluss nimmt"
"1824","Einflussnehmende"
"1825","Eingabe; Eingabe bei Nutzung"
"1826","Eingeladene; Geladene; Besuche Ich bin mir unsicher, ob 'Gäste' im Plural nicht schon gendergerecht ist, analog zum Wort 'Menschen'. Im Duden ist der feminine Plural 'Gästinnen' allerdings zu finden."
"1827","eingeladener Besuch; Besuch; Besuchsperson;besuchende Person"
"1828","Eingeweihte"
"1829","einkaufende Person"
"1830","einkaufende Person; konsumierende Person;Konsument*innen"
"1831","Einladende"
"1832","einladende Person"
"1833","Einladende; veranstaltet durch/von ... ; Organisation; Ausrichtung"
"1834","Einsatzkräfte der Feuerwehr; Feuerwehrangehörige; Feuerwehr; Feuerwehrleute; Feuerbekämpfende"
"1835","Einschaltquote"
"1836","Einstiegskurs; Grundkurs; Kurs für Menschen ohne Vorkenntnisse; Kurs für Menschen ohne Vorerfahrung"
"1837","Einstiegskurs; Grundlagenkurs; Grundkurs; Basiskurs"
"1838","Einteiler*in"
"1839","einwandernde Person; Person die immigriert ist"
"1840","einwohnende Person des Baskenlandes; Person aus dem Baskenland"
"1841","Einwohnende Person des dänischen Dorfes Bommerlund; Bommerlundische Person"
"1842","Einwohner Englands; aus England stammende Person; in England lebende Person;Engländer*innen"
"1843","Einwohner*innen; einwohnende Person"
"1844","Einwohnerbezeichnung zu Ephesos; Epheserbrief"
"1845","Einwohnerschaft Namibias; aus Namibia stammende Person;Südwester*innen"
"1846","Einzelkämpfende; Kriegsteilnehmende"
"1847","einzeln kämpfende Person; alleine kämpfende Person"
"1848","Einzelsportler*in; Einzelsportler_in; Einzelsportler/in"
"1849","einzige Person"
"1850","Eis verkaufende Person"
"1851","Eishockey spielende Person"
"1852","Eiskunstlauf betreibende Person;Eiskunstläufer*innen"
"1853","Elektrofachkraft"
"1854","Elektroingenieur*innen"
"1855","Elektrotechnik ausübende Person;Elektrotechniker*innen"
"1856","Elsässer*in; Elsässische; im Elsass lebende Person; im Elsass wohnende Person; aus dem Elsass stammende Person; Person aus dem Elsass"
"1857","Elternberatung"
"1858","Elternmilch; Brustmilchbei stillenden trans* Vätern"
"1859","Elternschutz auch trans* Väter haben Anspruch auf ""Mutterschutz"""
"1860","Elternteil"
"1861","Elternteil;Eltern"
"1862","emigrierte Person, die wieder in ihr Land zurückkehrt"
"1863","emigtierende Person; auwandernde Person; ausgewiesene Person; umsiedelnde Person;Emigrant*innen"
"1864","Emmentaler*innen; Person aus Emmental; in (schweizer Region) Emmental lebende/wohnende Person"
"1865","Empfang; Person/Personal am Empfang; Rezeption"
"1866","empfangende Person; entgegennehmende Person;Empfänger*innen"
"1867","empfangende Person; Person, an die etwas gerichtet, adressiert ist;Adressat*innen"
"1868","empfangsberechtigte Person; empfangen von ... ; für ... ; bestimmt für ..."
"1869","Endverbrauchende Person; Person, die eine Ware/Dienstleistung für sich selbst nutzt/kauft"
"1870","Endverbrauchende; Endkonsumierende"
"1871","Energieministerium innehabende Person;Energieminister*innen"
"1872","Energieversorgungsunternehmen"
"1873","eng befreundete Person;Busenfreund*innen"
"1874","engagierte Person; politisch aktiver Mensch"
"1875","engagierte Personen; politisch aktive Menschen; zielstrebig Handelnde"
"1876","Englisch unterrichtende Person;Englischlehrer*innen"
"1877","Enkelkind; Kindeskind"
"1878","entdeckender Mensch; forschender Mensch;Entdecker*innen"
"1879","entdeckt von ..."
"1880","entdeckt von ... ; entdeckende Personen /Kinder; Forschende; Entdeckende"
"1881","Entfernungspauschale; Pendelpauschale; Pauschale für Pendelnde; Pauschale für Menschen, die pendeln"
"1882","entführende Person"
"1883","Enthüllungsjournalist*innen"
"1884","enthusiastische Person; begeisterte Person"
"1885","Entlassungsbrief; Entlassbericht; ärztlicher/medizinischer (Abschluss-)Bericht; ärztliche Epikrise; ärztlicher Brief; (ärztlicher) Befundbericht; ärztliches Informationsschreiben; ärztliche Information"
"1886","Entlastungsbezeugungsperson"
"1887","Entscheidung fällende Person; entscheidungsbefugte Person"
"1888","Entscheidungtragende"
"1889","Entwicklungsteam; Entwickelnde; Erfindende; Ideenfindende; Entwicklungsabteilung  weitere Alternativen gesucht: senden Sie Ihren Vorschlag über das Kontaktformular (klick)"
"1890","Epikwerke verfassende Person; erzählende Person;Epiker*innen"
"1891","Erbberechtigte"
"1892","erbberechtigte Person"
"1893","erbberechtigte Person; nachkommende Person"
"1894","Erbschafthinterlassende Person;Erblasser*innen"
"1895","Erdkundelehrer*in; Erdkundelehrende Person; Lehrende des Erdkundeunterrichtes"
"1896","eremitisch lebende Person; abgeschieden lebende Person;Einsiedler*innen"
"1897","erfindende Person; entdeckende Person;Erfinder*innen"
"1898","erfindende Person; ideenfindende Person"
"1899","Ergänzungsschöffende Person; ehrenamtlich Richtende; Anordnende"
"1900","Ergotheapien durchführende Person;Ergotherapeut*in; Ergotherapeut_in; Ergotherapeut/in"
"1901","erkrankte Person"
"1902","Erlanger*innen; Person aus Erlangen; in Erlangen lebende/wohnende Person"
"1903","Ermittelnde Person;Ermittler*innen"
"1904","Ermittelnde; Ermittlungsteam"
"1905","Ernährungswissenschaften betreibende Person;Ernährungswissenschaftler*innen"
"1906","Erobernde Person"
"1907","errichtet von ..."
"1908","Ersatz; Vertretung; Stellvertretung"
"1909","Ersatzperson für aktiven Spieler"
"1910","erst seit kurzem zur Nationalmannschaft gehörende Person"
"1911","erste Hilfe leistende Person; in Erster Hilfe geschulte Person"
"1912","erste Person bei Staffellauf"
"1913","erstellt von ..."
"1914","Erster Platz"
"1915","Erster Platz der Deutschen Meisterschaft / Weltmeisterschaft; Erstplatzierte (pl.)"
"1916","Erster Platz; erstplatzierte Person"
"1917","Ersthelfende"
"1918","Erstsprache; erste Sprache; Hauptsprache; Elternsprache; Familiensprache; HeimatspracheFeedback eines Users: Aus der zuerst erlernten Sprache kann man nicht folgern, welches Land eine Person als Heimat empfindet (Kind wächst in Deutschland auf, lernt zu Hause aber erst polnisch, dann deutsch). 'Heimatsprache' kann daher irreführend sein. In internationalen Familie können viele Sprachen gesprochen werden. 'Familiensprache' suggeriert, dass in Familien immer nur eine Sprache gesprochen wird."
"1919","erwachsene Person"
"1920","Erwerbstätige; Belegschaft; Beschäftigte; Arbeitskräfte"
"1921","Erzählende"
"1922","erzählende Figur; erzählende Person; Erzählinstanz"
"1923","erzählende Person;Erzähler*innen"
"1924","Erzgebirger*innen; Person aus dem Erzgebirge; im Erzgebirge lebende/wohnende Person"
"1925","Erzherzog*innen;erzherzogliche Person; Person mit Erzherzogtitel; Person des Erzherzogtums Österreichs"
"1926","erziehende Person am Hofe; als Zeremonienmeister tätige Person bei Hofe;Hofmeister*innen"
"1927","erziehungsberechtigte Person"
"1928","Esperanto kennende, anhängende Person"
"1929","Essener*innen; Person aus Essen; in Essen lebende/wohnende Person"
"1930","Estländer*innen; Person aus Estland; in Estland lebende/wohnende Person"
"1931","Etruskerr*innen; angehörige Person eines historischen Stammes"
"1932","etwa 25 Jahre alte Person;Mittzwanziger*innen"
"1933","etwa 35 Jahre alte Person;Mittdreißiger*innen"
"1934","etwa 45 Jahre alte Person;Mittvierziger*innen"
"1935","etwa 55 Jahre alte Person;Mittfünfziger*innen"
"1936","etwa 65 Jahre alte Person;Mittsechziger*innen"
"1937","etwa 75 Jahre alte Person;Mittsiebziger*innen"
"1938","etwa 85 Jhre alte Person;Mittachtziger*innen"
"1939","etwa 95 Jahre alte Person;Mittneunziger*innen"
"1940","etwas absendende Person;Adressant*innen"
"1941","etwas anschiebende Person"
"1942","etwas anwendende Person;Anwender*in; Anwender_in; Anwender/in"
"1943","etwas bastelnde Person"
"1944","etwas beginnende Person; etwas anfangende Person;Beginner*innen"
"1945","etwas bekennende Person;Bekenner*in"
"1946","etwas bestellende Person;Besteller*innen"
"1947","etwas betrachtende/beschauende Person;Beschauer*in"
"1948","etwas bewahrende Person"
"1949","etwas bewirkende Person; ein Werk schöpfende Person;Urheber*innen"
"1950","etwas beziehende Person"
"1951","etwas bringende Person; überbringende Person;Bringer*innen"
"1952","etwas dümmliche Person; den Weg des geringsten Widerstandes gehende Person;Dünnbrettbohrer*in"
"1953","etwas exportierende Person;Exporteur*innen"
"1954","etwas formende, bildende Person"
"1955","etwas hütende Person"
"1956","etwas importierende Person;Importeur*innen"
"1957","etwas innehabende Person"
"1958","etwas kommendierende Person;Kommentierer*innen"
"1959","etwas könnende Person"
"1960","etwas leugnende Person"
"1961","etwas mehrende Person;Mehrer*innen"
"1962","etwas mitbegründende Person;Mitgründer*in"
"1963","etwas mitmachende, ohne sich zu engagierende Person"
"1964","etwas oder Jemand beobachtende Person;Beobachter*innen"
"1965","etwas oder jemand fördernde Person"
"1966","etwas oder jemanden anbetende Person;Anbeter*in"
"1967","etwas oder jemanden einteilende Person;Einteiler*in"
"1968","etwas oder jemanden testende Person"
"1969","etwas panschende Person; verfälschende, mit Wasser verdünnende Person; im Wasser panschende Person;Panscher*in"
"1970","etwas planende Person;Planer*innen"
"1971","etwas repräsentierende Person"
"1972","etwas restaurierende Person"
"1973","etwas sammelnde Person;Sammler*innen"
"1974","etwas schenkende Person"
"1975","etwas schleppende Person; helfende Person bei Migration;Schlepper*innen"
"1976","etwas spendende Person; Blut spendende Person;Spender*innen"
"1977","etwas stehlende Person"
"1978","etwas steigernde Person"
"1979","etwas suchende Person; sinnsuchende Person"
"1980","etwas verputzende Person; mit Stuck arbeitende Person;Verputzer*in"
"1981","etwas vortragende Person; Person die eine Rede hält; Redner*innen"
"1982","etwas werfende person;Werfer*in"
"1983","etwas zustellende Person;Zusteller*innen"
"1984","EU-Kommissar*innen"
"1985","EU-Kommissionsmitglied"
"1986","Euro-ablehnende Person; Euro-gegnerische Person; Person, die gegen den EURO ist"
"1987","Europaskeptiker*innen"
"1988","Evakuierungshilfe; in Evakuierungshilfe geschulte Person; Evakuierungshilfe leistende Person"
"1989","evangelische Landeskirche leitende Person;Kirchenpräsident*in"
